	Bacteroides	Faecalibacterium	Clostridium	Sutterella	Parabacteroides	Ruminococcus	Dorea	Bifidobacterium	Lachnospiraceae_unclassified	Phascolarctobacterium	Oscillospira	Alistipes	Butyricicoccus	Roseburia	Odoribacter	Blautia	Rikenellaceae_unclassified	Coprococcus	Butyricimonas	Bilophila
MAX	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5
MIN	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A	0	0.479531604	0	0.031273	0	0	0	0	0	0	0	0	0	0.021778491	0.004758295	0	0	0	0	0
B	0	0	0	0	0.001239099	0.145754904	0	0.078318609	0	0	0	0	0	0.001116135	0	0	0	0	0	0
