species	group	value
Sphingomonas	F	16.17
Sphingomonas	CK	13.29
Gemmatimonas	F	3.08
Gemmatimonas	CK	4.36
Pseudomonas	F	2.54
Pseudomonas	CK	2.36
Bradvrhizobium	F	2.36
Bradvrhizobium	CK	1.92
Arthrobacter	F	1.9
Arthrobacter	CK	1.18
Phenylobacterium	F	1.49
Phenylobacterium	CK	1.16
Rhizobium	F	1.17
Rhizobium	CK	1.07
Devosia	F	1.15
Devosia	CK	1
Aridibacter	F	0.83
Aridibacter	CK	0.81
Pedobacter	F	0.72
Pedobacter	CK	0.79
